-0.0591267,0.02386802,0.03010774,-0.0381613,-0.0168778,0.0309346,-0.03409853,-0.01976824,0.03810847,-0.01907363,-0.01745999,0.03976178,-0.005934514,-0.007875741,0.04191095,40.5059,8.863971,15.0817,20.14956,CLOSE
-0.05510508,0.02628726,0.01582876,-0.03639562,-0.01512596,0.01850748,-0.0319738,-0.01886484,0.0255084,-0.01808693,-0.01623651,0.03014696,-0.007285766,-0.006668925,0.03643629,46.19852,11.61272,18.55531,23.71099,CLOSE
-0.0538612,0.02507609,0.01788554,-0.03612878,-0.01477328,0.01671976,-0.03141511,-0.01859477,0.02375752,-0.01747561,-0.01604053,0.0286665,-0.007149316,-0.006654769,0.03552425,44.6439,12.31818,19.43261,24.23462,CLOSE
-0.0517876,0.02191988,0.01727104,-0.03637118,-0.01388499,0.008831978,-0.0289357,-0.01613495,0.01969796,-0.01576169,-0.01316381,0.02546865,-0.008557476,-0.003703415,0.03305906,42.48926,19.50045,21.88335,24.12744,CLOSE
-0.04716764,0.02319926,0.02430406,-0.03496639,-0.01431528,0.01188046,-0.0276019,-0.01557991,0.02205849,-0.01477927,-0.01162124,0.02708694,-0.008001909,-0.0009739697,0.03310502,45.56101,18.52189,21.274,24.00315,CLOSE
-0.04550583,0.02203849,0.02763057,-0.03750131,-0.01803568,0.01014474,-0.03025298,-0.01962903,0.01890916,-0.01786082,-0.01533556,0.02414018,-0.01138944,-0.003331363,0.02839726,49.9086,15.53488,19.04728,25.06465,CLOSE
-0.05355458,0.02596605,0.009295255,-0.03613744,-0.01653183,0.006842732,-0.02947159,-0.01797941,0.01771843,-0.01785786,-0.01407385,0.02323252,-0.01220214,-0.003548652,0.02944088,49.74463,18.54488,19.23829,24.05921,CLOSE
-0.05385587,0.01681754,0.02787259,-0.03985997,-0.01683006,0.007544279,-0.03310394,-0.01907003,0.01703775,-0.01943585,-0.01582205,0.02357233,-0.01235044,-0.00582993,0.03078812,41.37786,15.66164,20.64993,24.07389,CLOSE
-0.05038938,0.02001065,0.02301854,-0.03726894,-0.0159165,0.004583329,-0.03002669,-0.01733783,0.01606858,-0.01719505,-0.01344171,0.02281222,-0.01092697,-0.003472745,0.03021798,46.12456,19.55447,22.34354,25.11596,CLOSE
-0.04782022,0.01936436,0.02663451,-0.03838948,-0.01643452,0.007616937,-0.03077225,-0.01776451,0.01817417,-0.01769838,-0.01381779,0.02431804,-0.01106092,-0.003373027,0.03104913,45.7294,17.94361,21.14358,24.56125,CLOSE
-0.05039022,0.01841575,0.03259104,-0.0390656,-0.01653928,0.01134095,-0.03191053,-0.0182988,0.02064604,-0.01853742,-0.01466346,0.02638426,-0.01140573,-0.0041264,0.03212678,42.46196,15.6811,19.94724,23.01774,CLOSE
-0.0530921,0.01871359,0.03012124,-0.04002974,-0.01621261,0.01076025,-0.03340312,-0.01837239,0.01983801,-0.01981048,-0.01519841,0.02581614,-0.01226117,-0.004964381,0.031955,40.95882,14.90011,19.70312,23.00922,CLOSE
-0.05394374,0.02198675,0.02225426,-0.03976206,-0.01552227,0.0100387,-0.03301421,-0.01735279,0.01956984,-0.01947077,-0.01399469,0.02559966,-0.01184305,-0.003799707,0.0321354,42.1562,15.63834,20.18378,23.73451,CLOSE
-0.05292694,0.02167305,0.02399325,-0.03977392,-0.0154275,0.01053345,-0.0329573,-0.01718372,0.01998368,-0.01944427,-0.01373145,0.02597907,-0.01187329,-0.003407568,0.03219315,42.05835,15.55407,20.14711,23.52411,CLOSE
-0.04652973,0.01748624,0.03652662,-0.03872749,-0.0173749,0.01084876,-0.03211248,-0.019003,0.02094805,-0.02038322,-0.01547536,0.02629501,-0.01393631,-0.004244775,0.03103703,45.49262,16.11693,17.26,22.07079,CLOSE
-0.04621867,0.01765072,0.03641471,-0.03884489,-0.01740041,0.01052013,-0.0321688,-0.01895687,0.02073336,-0.02047272,-0.01539776,0.02616426,-0.01400451,-0.004142284,0.03099599,45.99096,16.2715,17.32143,22.21944,CLOSE
-0.03867964,0.01836008,0.04146236,-0.03837558,-0.01519781,0.007322729,-0.03140932,-0.0169999,0.01917705,-0.02357883,-0.01351395,0.025792,-0.01721274,-0.001002461,0.03183591,52.84739,19.26879,15.30977,23.86704,CLOSE
-0.03577979,0.01250711,0.0392659,-0.03482721,-0.01078343,0.003424883,-0.02908255,-0.01485801,0.01330763,-0.01706474,-0.0138379,0.0208104,-0.01137246,-0.005288213,0.02785775,51.43993,19.31952,23.4796,23.63347,CLOSE
-0.06443917,0.02068251,0.009471059,-0.04483776,-0.009693056,0.001184136,-0.03542364,-0.0140183,0.009475172,-0.02206305,-0.01250783,0.01839074,-0.01469916,-0.004804105,0.02759603,30.56899,15.56291,23.11113,25.8429,CLOSE
-0.07275477,0.02134451,-0.0033786,-0.04647939,-0.008805513,0.004443049,-0.03603282,-0.0132159,0.01158398,-0.02132183,-0.01157331,0.0199728,-0.01297222,-0.004182339,0.0290699,28.18283,14.6855,23.80665,26.15611,CLOSE
-0.06914584,0.0171158,0.009622037,-0.04383213,-0.01243898,0.006531119,-0.0348606,-0.01613444,0.01513487,-0.02007039,-0.01447284,0.02278072,-0.01173545,-0.006845325,0.03114951,29.45933,15.91515,23.03233,23.9957,CLOSE
-0.06745347,0.01473802,0.01339364,-0.04361258,-0.01271179,0.006017566,-0.03521488,-0.01678735,0.01485211,-0.02079852,-0.01547456,0.02221847,-0.01250424,-0.008104265,0.0310412,28.39815,16.01762,21.91885,23.85581,CLOSE
-0.07752842,0.02310666,-0.004016161,-0.04635041,-0.006749183,0.00244236,-0.03496845,-0.01335886,0.01078078,-0.02042582,-0.01306355,0.01979107,-0.0127125,-0.006934494,0.02942061,25.54368,18.03783,25.31353,24.68416,CLOSE
-0.07573038,0.02080306,0.01233453,-0.04283783,-0.009606808,0.005446434,-0.03227724,-0.01579309,0.01262125,-0.01790594,-0.01544049,0.02017576,-0.009537805,-0.009963512,0.03076559,27.78297,17.91704,24.58744,25.56705,CLOSE
