0.0193802,0.1049223,0.001871616,-0.02793397,0.02760506,-0.02815089,-0.03277108,0.01915714,-0.03182012,-0.0306282,0.004660666,-0.02756569,-0.03221945,-0.006772876,-0.01940197,63.48063,12.12343,16.43346,19.90324,THUMB
0.01977514,0.1046008,0.001054555,-0.02728926,0.0274916,-0.02829129,-0.03182673,0.01901612,-0.03170592,-0.02979314,0.004400492,-0.02718303,-0.03178484,-0.006784081,-0.01903984,63.15323,12.06732,16.89018,20.14366,THUMB
0.01959195,0.1044861,0.001556695,-0.02762263,0.02784124,-0.02820677,-0.03239249,0.01950017,-0.03163838,-0.03033824,0.004785448,-0.02716345,-0.0322073,-0.006459326,-0.01904744,63.09797,11.9437,16.76842,19.93741,THUMB
0.01953722,0.1044124,0.002196401,-0.02772977,0.02807021,-0.0281907,-0.03259544,0.01982287,-0.0316557,-0.03048714,0.005023301,-0.02722919,-0.03233467,-0.006297112,-0.01916215,63.14824,11.85405,16.7229,19.88679,THUMB
0.01880646,0.1043413,0.003085583,-0.02821731,0.02840856,-0.02838665,-0.03348847,0.02043095,-0.03193051,-0.03114044,0.00541985,-0.02753562,-0.03280859,-0.006110638,-0.01955584,63.21667,11.61863,16.52446,19.65302,THUMB
0.01820858,0.1044311,0.003628343,-0.0286394,0.0285742,-0.02775618,-0.03412239,0.02054939,-0.03138274,-0.03157221,0.005466402,-0.02714097,-0.03304968,-0.006142825,-0.01929921,63.00878,11.78562,16.52889,19.56812,THUMB
0.01792454,0.1044495,0.003835648,-0.02898961,0.02851564,-0.02741963,-0.03452247,0.02046248,-0.03101829,-0.03186295,0.00535965,-0.02682909,-0.03322503,-0.006296307,-0.01903817,63.09327,11.8262,16.55528,19.56691,THUMB
0.01775609,0.1044423,0.005115986,-0.03002219,0.02854019,-0.02634096,-0.03566941,0.02043137,-0.02990773,-0.03286135,0.005327195,-0.02598906,-0.03383266,-0.006516248,-0.01837623,63.62534,11.90317,16.52654,19.49137,THUMB
0.01752774,0.1044067,0.006633699,-0.03079017,0.02853686,-0.02546853,-0.03643388,0.02033955,-0.02904415,-0.03352413,0.005275398,-0.02536866,-0.03418138,-0.006716549,-0.0178979,64.1525,11.98403,16.48887,19.46931,THUMB
0.01764277,0.1042492,0.008776456,-0.03116209,0.02870169,-0.024425,-0.03673676,0.02038085,-0.02811226,-0.03383732,0.005322695,-0.02473769,-0.03431126,-0.006853372,-0.0175463,64.56906,12.17474,16.58416,19.54152,THUMB
0.01763783,0.1041271,0.01001856,-0.03120104,0.02865216,-0.0238483,-0.03667196,0.02015629,-0.02765316,-0.03378061,0.005132377,-0.02441147,-0.03418101,-0.007126659,-0.01740953,64.81895,12.42405,16.71156,19.63881,THUMB
0.01726479,0.1041196,0.01051486,-0.03133866,0.02837738,-0.02333719,-0.03670596,0.0196743,-0.02722117,-0.03375867,0.00471735,-0.02402776,-0.03404258,-0.00759232,-0.01714069,64.95576,12.69647,16.83279,19.76521,THUMB
0.01640005,0.1044697,0.008859724,-0.03144079,0.02765322,-0.02328396,-0.03678238,0.01877615,-0.0271939,-0.03376053,0.004023492,-0.02384365,-0.03398315,-0.008161247,-0.01689059,64.77184,12.93672,16.7996,19.7435,THUMB
0.01604243,0.1044719,0.008599669,-0.03105254,0.02721325,-0.02341989,-0.03619249,0.01808843,-0.02731749,-0.03312263,0.003406972,-0.02379069,-0.03347657,-0.008695006,-0.01687077,64.79835,13.23202,17.02283,19.92346,THUMB
0.01573058,0.1043824,0.009608567,-0.03104229,0.02721626,-0.02329952,-0.03618613,0.01797324,-0.0273152,-0.03303186,0.003290117,-0.02383804,-0.03336639,-0.008840054,-0.01702815,64.93529,13.41439,17.0488,19.9064,THUMB
0.01519247,0.1043995,0.01062709,-0.03109018,0.0273768,-0.02321297,-0.03640509,0.01803643,-0.02748621,-0.03307981,0.003296942,-0.02413514,-0.03337116,-0.008871704,-0.01742288,64.85957,13.63529,16.99487,19.777,THUMB
0.01448953,0.1045587,0.011374,-0.03095077,0.02732933,-0.02333051,-0.03627842,0.01788414,-0.0278379,-0.03280287,0.003104568,-0.0245375,-0.03314346,-0.009076625,-0.01792106,64.80177,13.83443,17.04,19.7258,THUMB
0.0140366,0.1047366,0.01203761,-0.03058953,0.02733001,-0.02355227,-0.03581376,0.01782694,-0.02821842,-0.03226008,0.003004521,-0.02497265,-0.0327481,-0.009173065,-0.01847076,64.70451,13.95202,17.14934,19.73326,THUMB
0.01380392,0.1048158,0.01238814,-0.03039671,0.02729115,-0.0236446,-0.035546,0.01775172,-0.02837303,-0.03198263,0.002925217,-0.02515963,-0.03253475,-0.009255379,-0.01872116,64.68835,14.01731,17.21396,19.74981,THUMB
0.01369532,0.1050631,0.01199907,-0.03023519,0.02712375,-0.02393296,-0.03535476,0.01760125,-0.02860346,-0.03177375,0.002739966,-0.02535298,-0.03239848,-0.009441853,-0.0189496,64.69863,13.97431,17.30632,19.75685,THUMB
0.01405068,0.1048947,0.01326105,-0.02990454,0.02752769,-0.02388716,-0.03489458,0.01805258,-0.02856809,-0.03162318,0.003150642,-0.02549618,-0.03239223,-0.009126127,-0.01925665,64.67964,13.92155,17.38628,19.77723,THUMB
0.0139859,0.104824,0.01392189,-0.02975481,0.02767345,-0.02392039,-0.03466954,0.01819962,-0.02862209,-0.03154699,0.003299832,-0.02563286,-0.032356,-0.009030789,-0.01946074,64.67142,13.91312,17.40314,19.7869,THUMB
0.01386927,0.1046097,0.01481947,-0.02970623,0.02792332,-0.0240539,-0.03460216,0.0185236,-0.0287284,-0.03183535,0.003655642,-0.02578792,-0.03260334,-0.008803934,-0.01958245,64.73906,13.77694,17.29968,19.80496,THUMB
0.01362233,0.1046982,0.01378053,-0.0297335,0.02767628,-0.02457076,-0.03463959,0.01831654,-0.02914023,-0.03197001,0.003465831,-0.02599695,-0.03271337,-0.008972675,-0.01960468,64.77784,13.63718,17.2471,19.79229,THUMB
0.0137383,0.1046899,0.01334783,-0.02985059,0.02761179,-0.02465886,-0.03484989,0.01831132,-0.02923587,-0.03210049,0.003461123,-0.02601272,-0.03277177,-0.008967906,-0.01950452,64.84415,13.57266,17.16442,19.80037,THUMB
0.01385409,0.1047041,0.01291883,-0.02998271,0.02751365,-0.0250926,-0.03508463,0.01837879,-0.02974916,-0.03222017,0.003487557,-0.02635777,-0.03279352,-0.008927345,-0.01970404,65.1068,13.3599,17.01806,19.72251,THUMB
0.01421101,0.1046934,0.01304373,-0.02977032,0.02762181,-0.02526465,-0.03481118,0.01852188,-0.02995399,-0.03209659,0.003655702,-0.02657995,-0.03272592,-0.008750498,-0.01992157,65.15619,13.31598,16.98384,19.68825,THUMB
