34.47991,10.37096,10.34549,15.07213,FOUR
34.64969,10.32845,10.23937,14.98638,FOUR
34.55165,9.97981,9.871276,14.58073,FOUR
35.1152,9.681519,9.640615,14.23876,FOUR
35.24884,9.603716,10.21421,14.51501,FOUR
35.25036,9.01561,9.912228,13.90311,FOUR
35.53191,8.73046,9.750663,13.62326,FOUR
35.40916,8.790776,9.86412,13.59433,FOUR
36.2225,9.506755,10.49708,14.37236,FOUR
36.86739,9.758081,10.6378,14.60345,FOUR
37.11609,9.981583,10.72066,14.73421,FOUR
37.37379,9.869283,10.57272,14.63787,FOUR
38.31662,10.06474,10.87734,15.00437,FOUR
38.19585,10.20912,11.01823,15.24572,FOUR
37.34568,10.21612,10.7534,15.52649,FOUR
37.90387,10.33731,10.89941,15.73727,FOUR
37.91624,11.28387,11.6798,16.52804,FOUR
37.03715,12.25496,12.58252,17.3965,FOUR
36.26971,12.49266,12.84113,17.60864,FOUR
35.75304,12.67126,13.0686,17.88942,FOUR
36.55282,12.62175,13.02641,17.91501,FOUR
38.36454,12.67468,12.87032,17.9042,FOUR
38.30988,12.62068,12.7358,17.69225,FOUR
37.87378,12.67294,12.79626,17.65107,FOUR
37.23085,12.81419,13.02447,17.74301,FOUR
36.69691,12.92427,13.33019,17.92857,FOUR
36.4871,12.92491,13.59616,17.89259,FOUR
36.64025,12.85669,13.69802,17.72933,FOUR
36.94243,12.92891,13.79898,17.75521,FOUR
37.42948,13.09548,13.68369,18.0631,FOUR
37.56114,13.09892,13.60673,18.13183,FOUR
37.80664,13.04117,13.56843,18.10883,FOUR
37.94995,12.77376,13.35738,17.86438,FOUR
37.95225,12.503,13.06501,17.58522,FOUR
37.909,12.61673,12.83875,17.68812,FOUR
37.93148,12.90824,13.05822,18.06141,FOUR
38.18088,13.08029,13.33715,18.52004,FOUR
38.25063,13.08064,13.52152,18.77155,FOUR
37.85693,13.091,13.72024,18.93508,FOUR
36.74126,13.07243,13.9092,18.98992,FOUR
36.78947,12.9828,13.75109,18.8173,FOUR
36.69662,12.91812,13.54655,18.64917,FOUR
36.28481,12.93238,13.30288,18.51154,FOUR
36.69564,12.67426,13.10975,18.33963,FOUR
37.37339,12.39236,12.85768,18.14289,FOUR
38.08854,11.94662,12.37836,17.7297,FOUR
37.32094,12.38931,12.8924,18.16881,FOUR
34.43459,13.17621,14.0604,18.16862,FOUR
30.8931,12.96246,13.80407,17.67465,FOUR
25.25598,12.52257,12.13595,15.48008,FOUR
60.2232,13.06715,13.47729,16.9234,FOUR
71.8965,13.46322,14.36267,18.02271,FOUR
76.66142,13.84822,15.20451,19.34415,FOUR
73.8609,13.8217,15.28854,19.60541,FOUR
71.56808,13.55037,15.19381,19.55275,FOUR
68.87934,13.20094,14.91315,19.09618,FOUR
62.80194,12.64113,14.0021,18.26206,FOUR
62.77876,14.22419,14.3893,19.49735,FOUR
71.36707,14.51515,15.17606,21.64412,FOUR
73.4129,14.71111,15.41993,23.18746,FOUR
73.16628,14.62519,15.49034,23.99042,FOUR
72.14238,14.40345,15.38953,23.40002,FOUR
70.66009,14.49201,15.15261,23.14729,FOUR
68.34025,14.51467,14.96978,23.00315,FOUR
66.03785,14.40929,15.0152,22.66801,FOUR
65.70968,14.271,15.15281,22.33581,FOUR
66.74631,14.2628,15.26414,22.24895,FOUR
68.40673,14.35223,15.21155,22.67004,FOUR
68.73,14.41231,15.07615,23.06353,FOUR
69.12672,14.44975,14.83622,23.62062,FOUR
69.62656,14.37847,14.71216,23.80198,FOUR
70.33687,14.19485,14.73872,23.76775,FOUR
71.36761,14.10055,14.99965,23.90918,FOUR
61.19575,14.40486,14.74419,21.942,FOUR
60.43825,13.53021,14.40803,18.77558,FOUR
64.4921,13.21195,14.51429,17.89178,FOUR
25.03535,12.96843,12.47897,16.57818,FOUR
34.17099,12.62314,13.1925,17.44278,FOUR
41.8351,13.25551,13.73,18.32577,FOUR
43.0054,13.11228,13.85293,18.50997,FOUR
45.83661,12.16398,12.85116,17.29697,FOUR
47.8125,11.67999,12.36223,16.61436,FOUR
47.52284,11.13206,11.7906,16.52983,FOUR
46.90189,10.23441,10.28438,16.63464,FOUR
46.38133,10.27585,10.36678,16.51311,FOUR
44.51136,10.23529,9.743219,14.94315,FOUR
44.39044,10.25523,9.58148,14.64094,FOUR
43.85358,10.40624,9.835533,14.28268,FOUR
43.94803,10.6366,10.04821,14.28573,FOUR
41.60217,11.21619,11.05537,15.50674,FOUR
40.2255,11.18541,10.91143,15.68566,FOUR
40.70266,10.64518,9.993102,14.49749,FOUR
44.2939,9.60175,8.422684,13.06169,FOUR
46.03844,9.79087,9.018224,14.13311,FOUR
46.28954,10.48181,10.00612,15.79618,FOUR
45.52285,11.09539,11.12474,16.72917,FOUR
40.15378,11.90309,13.31558,17.82032,FOUR
37.52732,12.62736,13.79995,18.47047,FOUR
38.89389,12.33473,13.44089,18.11214,FOUR
43.2864,11.83904,12.92577,17.2099,FOUR
49.51802,13.34476,13.63207,19.04177,FOUR
53.13442,14.61355,14.84232,20.28328,FOUR
54.72921,15.5889,16.05634,21.51208,FOUR
54.82125,16.17979,16.73514,22.41677,FOUR
54.75859,16.31385,16.83566,22.60117,FOUR
53.87298,16.31872,16.65717,22.2324,FOUR
53.52418,16.48934,16.63549,21.99887,FOUR
53.22309,16.62507,16.6897,22.01246,FOUR
52.91412,16.92659,16.86086,22.18053,FOUR
42.78617,16.32751,16.89187,21.16099,FOUR
40.34652,15.20879,16.23592,20.4332,FOUR
40.73585,15.33254,16.20934,20.45484,FOUR
41.60331,15.57282,16.38429,20.60032,FOUR
42.65607,15.84572,16.62192,20.77381,FOUR
43.56471,16.00027,16.92178,21.00231,FOUR
45.74758,16.88874,17.417,21.35699,FOUR
45.04612,16.78793,17.19609,21.14832,FOUR
