-0.03905921,0.06642938,-0.02447918,-0.006524853,0.1158356,0.01187131,-0.01556596,0.1135096,0.03849366,-0.03319215,0.01169908,-0.004895478,-0.03374799,0.005731881,0.009862185,TWO
-0.03837524,0.06640247,-0.02294001,-0.006347075,0.1156209,0.01318488,-0.01656292,0.1130252,0.03874362,-0.0334758,0.01113412,-0.007111818,-0.03358924,0.00570339,0.008896708,TWO
-0.0384729,0.06556746,-0.02172256,-0.006238967,0.11566,0.01216483,-0.01773231,0.1132545,0.03640556,-0.0328262,0.01059574,-0.007906497,-0.0330735,0.005361736,0.008283794,TWO
-0.03676426,0.06628329,-0.02203354,-0.005160697,0.1156337,0.01299763,-0.01783715,0.1133257,0.03563908,-0.03159171,0.01027557,-0.008705765,-0.03282084,0.005079895,0.00739345,TWO
-0.03528234,0.06651092,-0.02021205,-0.001926586,0.1155919,0.01569808,-0.01696806,0.1128927,0.03700459,-0.03070201,0.01142967,-0.00959599,-0.03299627,0.005867928,0.006206572,TWO
-0.03517042,0.06514868,-0.02013275,0.0006728619,0.1158861,0.01629385,-0.01672554,0.1128072,0.0386171,-0.03017329,0.0127396,-0.01091954,-0.03336598,0.006990045,0.004832298,TWO
-0.03436039,0.06547326,-0.0203048,0.003314286,0.1161259,0.01550981,-0.01428793,0.1133153,0.03855208,-0.0300149,0.01307884,-0.01061738,-0.03320883,0.007479072,0.005127937,TWO
-0.02691858,0.06476328,-0.01856458,0.03109327,0.1122615,0.01705185,0.01103173,0.1142963,0.04248798,-0.02873281,0.02866867,-0.01390237,-0.03384387,0.02197638,0.0001938343,TWO
-0.03092512,0.06407672,-0.01667079,0.02446674,0.1126258,0.02332842,0.004604138,0.112387,0.04847085,-0.03105404,0.02972847,-0.0165036,-0.03597372,0.02239588,-0.002828687,TWO
-0.0258007,0.06561378,-0.02410537,0.01659868,0.1151082,0.0209893,-0.008446552,0.1141648,0.04398176,-0.03293731,0.02850497,-0.02421498,-0.03777399,0.02108613,-0.0102731,TWO
-0.02727662,0.06738883,-0.01954278,0.01404574,0.1119465,0.03726351,-0.01665084,0.1073565,0.05723014,-0.03733985,0.03891701,-0.03004569,-0.04080082,0.02769047,-0.01751018,TWO
-0.0269167,0.06735072,-0.01890326,0.01554374,0.1116967,0.03703666,-0.01527406,0.1080633,0.05596533,-0.03651335,0.04038742,-0.02905858,-0.04019633,0.02867925,-0.01708221,TWO
-0.02699466,0.06803694,-0.01763278,0.01152766,0.1108144,0.03991818,-0.02444557,0.1076464,0.05110854,-0.03867954,0.04371512,-0.02598238,-0.03979412,0.02575704,-0.01693615,TWO
-0.02233624,0.06875673,-0.02205563,0.01611072,0.1134727,0.02975979,-0.008372858,0.1114379,0.05153847,-0.03492162,0.03647149,-0.02493429,-0.03922801,0.02500424,-0.01287836,TWO
-0.02184288,0.06889313,-0.0207819,0.01501939,0.1132966,0.03091326,-0.01029494,0.110668,0.05277798,-0.03337948,0.03482658,-0.0242438,-0.03842074,0.02419662,-0.01246467,TWO
-0.02603316,0.06853309,-0.02057397,0.004133046,0.1146815,0.02942282,-0.02503316,0.1077659,0.05254519,-0.03765386,0.0310047,-0.02438551,-0.04151834,0.02048188,-0.01190776,TWO
-0.02597576,0.06959769,-0.01858455,0.01245816,0.1154184,0.02363274,-0.01245277,0.1091491,0.05491108,-0.03238107,0.02563483,-0.0258384,-0.03739989,0.01767063,-0.01352561,TWO
-0.0284972,0.068371,-0.01975515,0.007645443,0.1156912,0.02241239,-0.01259556,0.110552,0.05207255,-0.03431198,0.02520213,-0.02275458,-0.03865907,0.01761523,-0.01014516,TWO
-0.03766165,0.0632309,-0.01736897,-0.006745055,0.1159704,0.01249272,-0.01954728,0.1131922,0.04079515,-0.03504819,0.01533273,-0.01326054,-0.03754342,0.009386897,-1.645088E-05,TWO
-0.0451407,0.05675325,-0.02094454,-0.01394103,0.1162282,0.005044997,-0.02762561,0.1146275,0.02892864,-0.03639656,0.008798718,-0.01170546,-0.03680565,0.0056431,0.003881544,TWO
-0.03216618,0.07365796,-0.01539308,0.006525576,0.111378,0.03846568,-0.002565488,0.1030291,0.06719905,-0.04686594,0.02989256,0.005613983,-0.03546147,0.02661538,0.04616702,TWO
-0.03578263,0.06728661,-0.02407199,-0.005576625,0.1158799,0.01506928,-0.01239847,0.1161475,0.03383443,-0.04239977,0.02205572,-0.008730888,-0.04326206,0.009121358,-0.0001057982,TWO
-0.03868727,0.06336156,-0.02410924,-0.007057317,0.1163422,0.008988172,-0.01539406,0.1170916,0.02752823,-0.03609636,0.01341769,-0.01076531,-0.039464,0.006435096,-0.001075774,TWO
-0.04255237,0.05877176,-0.02318212,-0.007026188,0.1167755,0.002171189,-0.01855356,0.1172796,0.02181223,-0.03339826,0.008453459,-0.011282,-0.03657302,0.0052194,-0.0003721118,TWO
-0.04439477,0.05456957,-0.02552199,-0.005925544,0.1171029,-0.004262865,-0.02426337,0.116654,0.01488155,-0.03182358,0.005818874,-0.01370651,-0.03450445,0.0050551,-2.390146E-05,TWO
-0.02596424,0.07420063,-0.01898897,-0.008539476,0.111288,0.03305888,-0.01504152,0.1063893,0.05925024,-0.04950049,0.0283767,-0.00822565,-0.04610147,0.0159682,0.004119873,TWO
-0.02281389,0.07719728,-0.02530086,-0.01448008,0.1096685,0.03574854,-0.02043048,0.1052584,0.05938786,-0.05194809,0.03041357,0.004669249,-0.05013166,0.01771355,0.01259911,TWO
-0.04410936,0.07118395,-0.04513782,-0.02731983,0.104441,0.04137421,-0.009917982,0.1063883,0.06004918,-0.04907902,0.02362835,0.04909784,-0.01737675,0.01876915,0.05446184,TWO
-0.04236925,0.07032794,-0.05205637,-0.03174228,0.1010897,0.04610121,-0.008566439,0.1029755,0.06559891,-0.03514824,0.0317207,0.05630749,-0.003117017,0.0374251,0.07479042,TWO
-0.0385532,0.06789511,-0.0305301,-0.0397065,0.09656358,0.04664874,-0.01755609,0.1048743,0.05950004,-0.01280793,0.06379038,0.06106234,0.02274678,0.06239504,0.07346725,TWO
-0.01929042,0.03339976,0.04793021,-0.03132243,0.0004204214,0.03867462,-0.01495243,0.1115406,0.04142979,0.007662907,0.1024057,0.0473665,0.02236998,0.07727849,0.05004159,TWO
-0.02132452,0.05591157,-0.03836554,0.012105,0.117069,0.01386976,-0.02553999,0.1182392,0.01729405,-0.02168229,0.04075474,-0.03832194,-0.03140057,0.02995676,-0.03117466,TWO
-0.02448381,0.05504039,-0.03764242,0.01270722,0.1167786,0.0144698,-0.02390642,0.1183442,0.01960754,-0.02498473,0.04355556,-0.03902233,-0.03376295,0.03228751,-0.03072166,TWO
-0.03752445,0.05441576,-0.03080249,0.004927307,0.1175259,0.005071491,-0.02272799,0.117218,0.02507618,-0.03746055,0.03140789,-0.02701896,-0.04161809,0.02153334,-0.0152663,TWO
-0.04215808,0.05846033,-0.02536377,-0.0108989,0.116312,0.008313596,-0.0278251,0.113894,0.02942953,-0.03619,0.01155719,-0.01648384,-0.03742951,0.00657019,-0.001620382,TWO
-0.03905186,0.06160018,-0.02551579,-0.01304791,0.1154798,0.01346549,-0.0281143,0.1125762,0.03471088,-0.03258235,0.008554518,-0.01648447,-0.03634187,0.004702896,-0.002760798,TWO
-0.03649573,0.06364599,-0.02761215,-0.01056986,0.1158905,0.01347056,-0.02488121,0.114444,0.03043079,-0.03345556,0.00800091,-0.01680902,-0.03941479,0.007366747,-0.005222619,TWO
-0.0401333,0.06039342,-0.02161849,-0.003537603,0.1167411,0.01584607,-0.03081989,0.1113197,0.03104052,-0.0315224,0.009916276,-0.01902753,-0.03698742,0.007044524,-0.005800247,TWO
-0.04284676,0.04936993,-0.03117791,0.003404789,0.1180776,-0.001699328,-0.02603195,0.1167274,0.0225625,-0.03959859,0.02532205,-0.02569085,-0.04081775,0.01680675,-0.009278715,TWO
-0.03295996,0.05539647,-0.0345962,0.01309662,0.1167679,0.0004222691,-0.01370575,0.1197971,0.02034211,-0.03396354,0.03082374,-0.02871364,-0.0385808,0.02154168,-0.01437515,TWO
-0.03314225,0.05648205,-0.03254086,0.01497169,0.1165207,0.001295209,-0.01064555,0.1197983,0.02248475,-0.0342268,0.03151575,-0.02710176,-0.03862865,0.0223909,-0.01249164,TWO
-0.02998033,0.06412089,-0.02172005,0.01934782,0.1156116,0.01225814,-0.002899155,0.1151015,0.0416196,-0.03387401,0.02726299,-0.01893282,-0.03745536,0.01923734,-0.004001528,TWO
-0.02800577,0.06554672,-0.02318871,0.01667669,0.1163013,0.01265144,-0.007469729,0.1150476,0.04139668,-0.03475171,0.02805993,-0.02099609,-0.03828406,0.01889366,-0.007285893,TWO
-0.02734893,0.06578925,-0.02318048,0.01688991,0.1161709,0.01377955,-0.007866621,0.1148336,0.04200086,-0.03439943,0.02860352,-0.0218583,-0.03821532,0.0191842,-0.008464038,TWO
-0.02779518,0.06629789,-0.02122393,0.0142082,0.116137,0.01704854,-0.01106274,0.1134325,0.0448963,-0.03432864,0.02736866,-0.02174002,-0.03840779,0.01837915,-0.008662492,TWO
-0.02865764,0.06618783,-0.02121526,0.008476108,0.1164401,0.01894575,-0.0180191,0.1118791,0.04633713,-0.03465542,0.02531239,-0.02288634,-0.03891642,0.01710576,-0.009714454,TWO
-0.02665763,0.06905919,-0.02100435,0.005336702,0.1142024,0.0316962,-0.03243587,0.1049775,0.05202681,-0.03336449,0.02633971,-0.02958429,-0.03913957,0.01834536,-0.01775461,TWO
-0.0264157,0.06977382,-0.020818,0.007952966,0.113024,0.03555804,-0.03279378,0.103397,0.0544759,-0.03350601,0.02830514,-0.03000361,-0.0394049,0.01977694,-0.01880014,TWO
-0.02788305,0.0702368,-0.01774931,0.009984538,0.1117488,0.04040921,-0.03244855,0.1016495,0.05838609,-0.03601983,0.02916104,-0.03112695,-0.0405236,0.02012441,-0.019768,TWO
-0.02576734,0.07262293,-0.02124652,0.01033515,0.1131085,0.03686804,-0.03385421,0.1035476,0.05232149,-0.04144523,0.03278708,-0.02996099,-0.04364294,0.02272132,-0.01742488,TWO
-0.02537543,0.07288551,-0.02149379,0.01000337,0.1131698,0.03669184,-0.03400202,0.103655,0.05182475,-0.04167089,0.03314409,-0.02973276,-0.04380239,0.02293214,-0.01718223,TWO
-0.02425244,0.07368237,-0.02163678,0.008455932,0.1131694,0.03636533,-0.03406104,0.1033843,0.05222243,-0.04140726,0.03325522,-0.02872804,-0.04321292,0.02199486,-0.01678479,TWO
-0.02558149,0.07158762,-0.02211249,0.009018645,0.1125324,0.03743595,-0.0331265,0.1039538,0.05236721,-0.03771075,0.03454274,-0.03078181,-0.04002503,0.02116659,-0.01971486,TWO
-0.03120279,0.06663826,-0.01796228,0.009109706,0.1125198,0.03722,-0.03059185,0.1051049,0.05308628,-0.03494111,0.03423247,-0.03082156,-0.0389742,0.02385554,-0.02060038,TWO
-0.03107373,0.06129679,-0.02856886,0.005897626,0.1174607,0.01515985,-0.02640956,0.1135788,0.03771797,-0.03508964,0.03129452,-0.03088337,-0.03862899,0.0190202,-0.01845944,TWO
-0.04310449,0.06092116,-0.02857763,-0.01297682,0.1159685,-0.001058489,-0.0194335,0.1170059,0.02459911,-0.04092475,0.01234153,-0.005094767,-0.03801267,0.01058149,0.01113316,TWO
-0.04245496,0.06193087,-0.02860364,-0.01067216,0.116495,-0.0008103251,-0.01840926,0.1167888,0.02584282,-0.04189122,0.01404968,-0.004457563,-0.03818782,0.01100296,0.01162758,TWO
-0.03955641,0.06422898,-0.031901,-0.01167621,0.1164077,-0.0008505583,-0.02075563,0.1164171,0.02475771,-0.04211371,0.01484752,-0.003918827,-0.03895024,0.01152581,0.01182047,TWO
-0.04054668,0.06291774,-0.03042147,-0.01194521,0.1163188,-0.0007747412,-0.02224883,0.1161414,0.02464575,-0.04137642,0.01378253,-0.005044311,-0.03816014,0.009774894,0.0108552,TWO
-0.04264096,0.0612635,-0.02748454,-0.01120792,0.1165039,-0.0001995265,-0.02206495,0.1159455,0.02583471,-0.04030908,0.01262298,-0.005575716,-0.03720019,0.008147061,0.01025721,TWO
-0.03921106,0.06272706,-0.02611667,-0.008119822,0.1166116,0.0006779432,-0.02101734,0.1159434,0.02474588,-0.03444991,0.009850621,-0.005958378,-0.03441051,0.005912691,0.008657098,TWO
-0.03901536,0.06503883,-0.03091782,-0.006511815,0.1167903,-0.0009238124,-0.01620583,0.1166415,0.02517658,-0.03923636,0.01371515,-0.003380686,-0.03579538,0.009519666,0.01234058,TWO
-0.04145748,0.06412134,-0.02777922,-0.005197093,0.1168349,-0.00358659,-0.01203229,0.1177367,0.02362871,-0.03735274,0.01364335,-0.001691937,-0.03500102,0.009995461,0.01322883,TWO
-0.03488174,0.06730929,-0.0273855,-0.004155159,0.116091,0.002939254,-0.01507298,0.1158175,0.0251407,-0.03369054,0.01154053,-0.005479902,-0.03277939,0.00702104,0.01060385,TWO
-0.04095832,0.066762,-0.02254134,-0.00611145,0.1163319,-0.002141982,-0.01031128,0.1170196,0.02456179,-0.0337299,0.01159689,0.002302289,-0.03004149,0.007211715,0.01726803,TWO
-0.04348268,0.06448504,0.00134787,-0.00463824,0.1168771,0.00310114,-0.003895812,0.116187,0.03064737,-0.0323215,0.01753509,0.01637635,-0.02647374,0.00722003,0.02628908,TWO
-0.04455497,0.06004959,0.005484849,-0.00565929,0.1168537,0.002308398,-0.005476125,0.1164822,0.02944377,-0.03362059,0.01618114,0.01493341,-0.02692328,0.006538898,0.02545923,TWO
-0.04204981,0.06503931,-0.01150894,-0.005185351,0.1166519,0.003560483,-0.0103241,0.1156013,0.02969456,-0.03664613,0.02181175,0.01222482,-0.03114756,0.00867179,0.02106968,TWO
-0.04264013,0.06190005,0.002577662,-0.003522888,0.1173491,0.000328362,-0.002690181,0.1174048,0.02990559,-0.03394731,0.0821901,0.03948972,-0.03107079,0.01295277,0.02462775,TWO
-0.03764198,0.07045001,-0.01832187,-0.00235261,0.116784,0.005399585,-0.006365314,0.1158243,0.03215867,-0.03647012,0.02476901,0.01437366,-0.03100172,0.01203281,0.02321512,TWO
-0.02488828,0.0665141,-0.03200886,0.000412032,0.1161405,0.01372182,-0.0201227,0.1150003,0.03037035,-0.03277085,0.02316344,-0.01298168,-0.03706226,0.01169556,-0.00282681,TWO
-0.02244028,0.05540311,-0.03548458,0.009941563,0.1143049,0.02608287,-0.02491733,0.1169993,0.02599642,-0.03428855,0.0887841,-0.02582216,-0.03528912,0.05145115,-0.0326671,TWO
-0.0222301,0.0573512,-0.03320229,0.009287104,0.1134298,0.02855438,-0.02345287,0.1164156,0.02945364,-0.03083025,0.08110404,-0.02870357,-0.03317226,0.04693726,-0.03137594,TWO
-0.03451379,0.05682656,-0.03008026,-0.0002155229,0.1161962,0.01384881,-0.02756763,0.1145037,0.02601734,-0.02750284,0.02257732,-0.02468142,-0.03550065,0.01484969,-0.01283595,TWO
-0.02194031,0.05690849,-0.03709725,0.004047289,0.1157768,0.01562983,-0.02634589,0.1172857,0.01765445,-0.03149289,0.05934662,-0.03486368,-0.0339419,0.03071958,-0.02768728,TWO
-0.01131626,0.06330827,-0.02842566,0.01324328,0.1093983,0.04353014,-0.0244728,0.1133015,0.04059091,-0.02392168,0.08705148,-0.02310574,-0.02674189,0.05577859,-0.03223684,TWO
-0.007720649,0.06379071,-0.02941906,0.01329184,0.1103322,0.04220235,-0.02416602,0.1144823,0.03749478,-0.01740626,0.07694763,-0.03126428,-0.02369224,0.05373189,-0.03523016,TWO
-0.004502244,0.06440857,-0.02910918,0.01542827,0.110117,0.04273114,-0.02156286,0.115069,0.03741303,-0.009117223,0.06487378,-0.03645223,-0.02072853,0.05243722,-0.03567344,TWO
-0.009167895,0.05973989,-0.03216058,0.01624388,0.112631,0.0321615,-0.01726124,0.1176744,0.02875087,-0.004624784,0.03246021,-0.03374171,-0.01944423,0.02866325,-0.02953303,TWO
-0.01068202,0.06062376,-0.0336799,0.01572099,0.1144103,0.02501979,-0.01799044,0.1185934,0.02326086,-0.01001212,0.03543171,-0.03419948,-0.02287572,0.02994657,-0.03061751,TWO
-0.02769024,0.0680145,-0.02250561,-0.004619986,0.1141896,0.0270052,-0.03377918,0.1079256,0.04363626,-0.04174072,0.03810418,-0.03459358,-0.04247802,0.02456197,-0.02177405,TWO
-0.02228063,0.07044414,-0.0172469,0.005542479,0.1102756,0.04171467,-0.03471553,0.108373,0.03800553,-0.03803135,0.05528373,-0.03039694,-0.03577878,0.02879974,-0.02536914,TWO
-0.02057102,0.07112947,-0.01756993,0.005286686,0.1092763,0.04451114,-0.03441325,0.1083327,0.0392783,-0.03723778,0.0548549,-0.02911359,-0.03528374,0.02849838,-0.02547452,TWO
-0.02964922,0.06812307,-0.01659185,0.006956965,0.1127349,0.03351557,-0.03794567,0.1037848,0.003640383,-0.04250382,0.05196375,-0.03116798,-0.03805071,0.02530682,-0.02235192,TWO
