THUMB_POS_X,THUMB_POS_Y,THUMB_POS_Z,INDEX_POS_X,INDEX_POS_Y,INDEX_POS_Z,MIDDLE_POS_X,MIDDLE_POS_Y,MIDDLE_POS_Z,RING_POS_X,RING_POS_Y,RING_POS_Z,PINKY_POS_X,PINKY_POS_Y,PINKY_POS_Z,THUMB_INDEX_ANGLE,INDEX_MIDDLE_ANGLE,MIDDLE_RING_ANGLE,RING_PINKY_ANGLE,target
0.01081671,0.1027307,0.0009368658,-0.01703623,0.07165873,0.09954089,-0.03953328,0.0162133,-0.004344851,-0.03483978,-0.001034647,-0.001752377,-0.03286019,-0.01385927,0.008683562,55.36329,74.70599,24.10634,26.74267,FIRE
0.01135774,0.1021413,0.002607226,-0.01632857,0.07133812,0.0998697,-0.03928345,0.01649618,-0.004303992,-0.03474662,-0.000698179,-0.001767218,-0.0329471,-0.01366302,0.008525848,54.66554,74.81949,24.02831,26.78041,FIRE
0.004701807,0.0967842,0.01632932,-0.01030615,0.07006812,0.101952,-0.03873149,0.01806164,-0.002436191,-0.03489057,0.001232326,-0.0007452965,-0.03337934,-0.01233461,0.008644313,46.49284,74.5412,23.04956,26.64554,FIRE
0.004216668,0.09662527,0.01657775,-0.01075078,0.07030067,0.1018229,-0.03867066,0.01792675,-0.002511799,-0.03485604,0.001169086,-0.0008161068,-0.0333766,-0.0124135,0.00856331,46.19995,74.46568,23.01924,26.65729,FIRE
0.003777216,0.0965645,0.01621333,-0.009981191,0.07094282,0.1015984,-0.03854763,0.01784709,-0.002568066,-0.03477259,0.001299769,-0.0008094311,-0.03327961,-0.01231664,0.008519173,46.01322,74.76791,22.78099,26.74649,FIRE
0.003906303,0.09666264,0.01615152,-0.009778675,0.07105064,0.1015605,-0.03843979,0.01795214,-0.002593428,-0.03467147,0.001420826,-0.0008401573,-0.03318225,-0.01219851,0.008484811,46.00602,74.77262,22.76279,26.84208,FIRE
0.003142603,0.09598118,0.01669344,-0.008416349,0.07153201,0.1013074,-0.03831118,0.01812044,-0.002439052,-0.03468066,0.001726031,-0.0006480515,-0.03330239,-0.01189113,0.008687973,45.24599,74.93437,22.55607,26.79884,FIRE
0.002316765,0.09535518,0.01748496,-0.007391667,0.0712074,0.1014684,-0.03827067,0.01866025,-0.002104282,-0.03472865,0.00190869,-0.0004393458,-0.03328636,-0.01165488,0.008984745,44.78474,74.68624,22.93186,26.81567,FIRE
0.000771009,0.09543025,0.01887116,-0.006967029,0.06992328,0.1023517,-0.03932665,0.01870492,-0.001248062,-0.03554112,0.00172177,-0.0002670884,-0.03367187,-0.01191899,0.008914143,44.60458,74.40421,22.69184,26.3561,FIRE
-0.0005270061,0.09494129,0.02031079,-0.008562991,0.06881517,0.1028354,-0.03979179,0.01893702,-0.001016587,-0.03602942,0.001549363,-0.0003922284,-0.0336458,-0.01176026,0.00860092,44.246,73.64697,22.99466,25.78627,FIRE
-0.001175582,0.09499872,0.02068481,-0.0101319,0.06843245,0.1031203,-0.03999954,0.01844493,-0.0008988082,-0.03597728,0.0009398758,-0.0002640188,-0.03332607,-0.01219574,0.008724421,44.26716,73.27,23.26892,25.69211,FIRE
-0.001559027,0.09510046,0.02064312,-0.01106118,0.06859273,0.1030482,-0.04013674,0.01809028,-0.0009144843,-0.0359388,0.0006132424,-0.0002227426,-0.03321869,-0.01249671,0.008793145,44.22844,73.10392,23.2969,25.70715,FIRE
-0.001142227,0.09428042,0.02073362,-0.01053738,0.07057732,0.1017901,-0.04013611,0.0187456,-0.0009562671,-0.03590145,0.001228005,-0.0002230704,-0.0336289,-0.01192212,0.009018064,43.00317,72.58389,23.09026,25.75781,FIRE
-0.0007028656,0.09397203,0.02118993,-0.00891112,0.07057807,0.1019232,-0.04009441,0.01889041,-0.000770241,-0.03584206,0.001613617,-6.54757E-05,-0.03387699,-0.0117442,0.009157598,42.70924,72.98766,22.66589,25.86884,FIRE
-0.001208147,0.0931994,0.02279803,-0.007483521,0.06937584,0.1027368,-0.04036862,0.01903382,-5.653501E-05,-0.03606781,0.001779705,0.0003390014,-0.03398868,-0.01171637,0.009430319,42.27922,73.04096,22.42705,25.82027,FIRE
-0.0011113,0.09172195,0.02536431,-0.005870951,0.06798869,0.1036022,-0.04015982,0.0200617,0.0005182922,-0.03622069,0.002479166,0.0005170405,-0.03408427,-0.01087528,0.009417802,41.29682,72.73024,22.62731,25.49725,FIRE
-0.001679865,0.09079516,0.02751037,-0.005066187,0.06616095,0.1046921,-0.03977708,0.02060992,0.0008656681,-0.03616529,0.002842814,0.0006937683,-0.03388091,-0.01037014,0.009316444,40.85474,72.65533,22.89144,25.25045,FIRE
